"","city","type","full_name","specialization","number_teachers","number_places","number_free_places","address","phone","site","email","lon","lat","coord"
"1","Одеса","ЗНЗ","Одеський економічний ліцей Одеської міської ради Одеської області","спеціалізований заклад","28",272,"40","65059 , вул. Люстдорфська дорога, 33","67-99-55","http://www.krvo.od.ua/school/licec/",NA,-91.8903882,38.7006493,"38.7006493:-91.8903882"
"2","Одеса","ЗНЗ","Одеська загальноосвітня школа №27 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","79",1119,"0","65059, вул. Люстдорфська дорога, 33","766-61-34","http://www.krvo.od.ua/school/s27/",NA,-91.8903882,38.7006493,"38.7006493:-91.8903882"
"3","Одеса","ЗНЗ","Одеська загальноосвітня школа №28 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","46",754,"5","65080, вул. Ак. Філатова,13-в","766-20-71","http://www.krvo.od.ua/school/s28/",NA,30.722102,46.431459,"46.431459:30.722102"
"4","Одеса","ЗНЗ","Одеська загальноосвітня школа №33 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","42",562,"50","65043, вул. Комарова, 8","765-36-33","http://www.krvo.od.ua/school/s33/",NA,30.3989485,50.3627561,"50.3627561:30.3989485"
"5","Одеса","ЗНЗ","Одеська загальноосвітня школа №51 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","45",523,"30","65080, вул. Люстдорфська дорога, 60","766-64-11","http://www.krvo.od.ua/school/s51/",NA,-91.9685826,38.657452,"38.657452:-91.9685826"
"6","Одеса","ЗНЗ","Одеська загальноосвітня школа І-ІІІ ступенів №55 Одеської міської ради Одеської області","загальноосвітній заклад","80",1200,"0","65104, вул. Ільфа і Петрова, 25","744-43-41","http://www.krvo.od.ua/school/s55/",NA,-92.15,38.5,"38.5:-92.15"
"7","Одеса","ЗНЗ","Одеська загальноосвітня школа №63 І-ІІІ ступенів Одеської міської ради Одеської","загальноосвітній заклад","64",1106,"0","65101, вул. Академіка Корольова, 12","744-53-09","http://www.krvo.od.ua/school/s63/",NA,35.194557,48.495187,"48.495187:35.194557"
"8","Одеса","ЗНЗ","Одеська загальноосвітня школа №65 І-ІІІ ступенів Одеської міської ради Одеської","загальноосвітній заклад","63",930,"0","65089, вул. Академіка Корольова, 90","744-42-73","http://www.krvo.od.ua/school/s65/",NA,30.719923,46.393487,"46.393487:30.719923"
"9","Одеса","ЗНЗ","Одеська загальноосвітня школа №72 І-ІІІ ступенів Одеської міської ради Одеської","загальноосвітній заклад","112",1560,"0","65114, вул. Ільфа і Петрова, 15- А","744-41-61","http://www.krvo.od.ua/school/s72/",NA,NA,NA,"NA:NA"
"10","Одеса","ЗНЗ","Одеська загальноосвітня школа № 78 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","46",723,"82","65113, вул. Люстдорфська дорога, 152","744-70-22","http://www.krvo.od.ua/school/s78/",NA,NA,NA,"NA:NA"
"11","Одеса","ЗНЗ","Одеська загальноосвітня школа № 80 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","55",877,"15","65114, вул. Ільфа і Петрова, 13/1","744-55-31","http://www.krvo.od.ua/school/s80/",NA,NA,NA,"NA:NA"
"12","Одеса","ЗНЗ","Одеська загальноосвітня школа № 81 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","76",1303,"0","65016, вул. Фонтанська дорога, 26","63-43-28","http://www.krvo.od.ua/school/s81/",NA,-91.8903882,38.5748317,"38.5748317:-91.8903882"
"13","Одеса","ЗНЗ","Одеська загальноосвітня школа №82 І – ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","59",1089,"0","65121, , проспект Маршала Жукова, 12”а”","761-96-46","http://www.krvo.od.ua/school/s82/",NA,30.706851,46.409829,"46.409829:30.706851"
"14","Одеса","ЗНЗ","Одеська загальноосвітня школа № 85 І – ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","42",656,"70","65037, проспект Свободи, 91","36-05-21","http://www.krvo.od.ua/school/s85/",NA,24.0256529,49.8441465,"49.8441465:24.0256529"
"15","Одеса","ЗНЗ","Одеська загальноосвітня школа №89 І-ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","63",1006,"34","65122, вул. Ільфа і Петрова, 45","749-42-01","http://www.krvo.od.ua/school/s89/",NA,NA,NA,"NA:NA"
"16","Одеса","ЗНЗ","Одеська загальноосвітня школа №106 І – ІІІ ступенів Одеської міської ради Одеської області","загальноосвітній заклад","58",724,"25","65038, провулок Дачний, 1","744-65-35","http://www.krvo.od.ua/school/s106/",NA,30.747705,46.398536,"46.398536:30.747705"
"17","Одеса","ЗНЗ","Одеська гімназія №9 Одеської міської ради Одеської області","спеціалізований заклад","62",819,"23","65113, проспект Ак. Глушка, 1-Г","747-32-00","http://www.krvo.od.ua/school/gim9/",NA,30.7299373,46.3979867,"46.3979867:30.7299373"
"18","Одеса","ЗНЗ","Одеська спеціалізована школа № 86 І-ІІІ ступенів з поглибленним вивченням англійської мови Одеської міської ради одеської області","спеціалізований заклад","83",1224,"46","65089, вул. Академіка Вільямса, 79","746-73-64","http://www.krvo.od.ua/school/s86/",NA,30.718263,46.388359,"46.388359:30.718263"
"19","Одеса","ЗНЗ","Одеський навчално-виховний комплекс «Гармонія» «Загальноосвітня школа І-ІІ ступенів гімназія №6» Одеської міської ради Одеської області","спеціалізований заклад","76",1901,"21","65088, вул. Олександра Невського, 43/2 „а”","45-85-97","http://www.krvo.od.ua/school/gim6/",NA,30.732887,46.411408,"46.411408:30.732887"
"20","Одеса","ЗНЗ","Одеський навчально-виховний комплекс № 84 «Спеціалізована школа І – ІІІ ступенів з поглибленим вивченням іноземних мов – загальноосвітня школа І – ІІІ ступенів» Одеської міської ради Одеської області","спеціалізований заклад","103",1567,"6","65015, проспект Академіка Глушка, 1/6","747-67-78","http://www.krvo.od.ua/school/s84/",NA,30.7291175,46.4006515,"46.4006515:30.7291175"
"21","Одеса","ЗНЗ","Одеський навчально-виховний комплекс №263 „Спеціалізована школа І ступеня з поглибленим вивченням англійської мови - дошкільний заклад” Одеської міської ради Одеської області","спеціалізований заклад","49",447,"0","65113, вул. Ак.Вільямса, 54","45-23-29","http://www.krvo.od.ua/school/s263",NA,NA,NA,"NA:NA"
"22","Одеса","ЗНЗ","Одеський навчально-виховний комплекс № 310 «Дошкільний навчальний заклад (ясла-сад) комбінованого типу. спеціальна школа І ступеня» Одеської міської ради","спеціалізований заклад","58",77,"0","65089, вул. Ак.Вільямса,85","746-72-13","http://www.krvo.od.ua/school/s310",NA,NA,NA,"NA:NA"
